player_name,country,tour,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Cone, Trevor",#N/A,#N/A,12,0,0,0,44,0,-9999,-9999,-9999,-9999,-9999,-0.335490909
"Blair, Zac",0,0,13,0,0,0,40,37,0.059560541,0.232218108,-0.313601351,-0.436827297,-0.518210541,-0.3406165
"Del Rey, Alejandro",0,0,14,0,0,0,49,22,0.130579091,-0.257516364,-0.489776818,-0.087357273,-0.834650455,-0.343136122
"Reavie, Chez",0,0,14,0,0,0,40,32,-0.509236875,0.31402375,0.280213438,-0.586722813,0.007514375,-0.34438925
"Cink, Stewart",0,0,13,0,0,0,41,23,0.431503913,0.105491739,-0.000304348,-0.460246087,-0.355058696,-0.345322195
"Rodriguez, Jose de Jesus",0,0,8,2,0.037,0,28,0,-9999,-9999,-9999,-9999,-9999,-0.345414643
"Bennett, Sam",0,0,12,0,0,0,44,4,0.2619675,0.2486175,-1.42585,-0.006135,-1.1833675,-0.349288182
"Kaymer, Martin",0,0,9,0,0,0,28,4,0.214735,0.0279825,-0.65813,-0.032395,-0.6625425,-0.349815
"Olesen, Jacob Skov",#N/A,#N/A,7,0,0,0,21,0,-9999,-9999,-9999,-9999,-9999,-0.353857619
"Manassero, Matteo",0,0,15,1,0.034,0,45,14,-0.574359286,0.028765714,0.34494,-0.713330714,-0.339625,-0.355074222
"Migliozzi, Guido",0,0,14,0,0.019,0,45,26,-0.220623462,-0.249107308,0.437109615,0.003617692,0.19162,-0.359224222
"Broberg, Kristoffer",#N/A,#N/A,8,0,0,0,25,3,-0.333086667,0.712293333,-0.9139,-1.15866,-1.360266667,-0.3615264
"Crowe, Trace",0,0,13,0,0,0,40,22,0.253539091,-0.207144091,-0.660544091,0.193800909,-0.673887273,-0.3619495
"Errazuriz, Agustin",#N/A,#N/A,3,0,0,0,10,0,-9999,-9999,-9999,-9999,-9999,-0.362745
"Crick, Brandon",#N/A,#N/A,12,0,0,0,42,0,-9999,-9999,-9999,-9999,-9999,-0.364151429
"Kruyswijk, Jacques",0,0,13,0,0,0,48,10,0.000345,0.402948,-0.745753,-0.136697,-0.479502,-0.369278958
"Norlander, Henrik",0,0,10,0,0,0,32,16,0.152815,-0.36766875,0.212926875,-0.471709375,-0.62645125,-0.370443438
"Dahmen, Joel",0,0,15,0,0.031,0,51,40,-0.5219,-0.18566625,0.386029,0.22422325,0.424586,-0.372583333
"Aiken, Thomas",0,0,11,0,0,0,40,0,-9999,-9999,-9999,-9999,-9999,-0.37620875
"Hardy, Nick",0,0,16,0,0,0,49,43,0.109461628,-0.497647674,-0.020395116,0.223766279,-0.294276512,-0.376226939
"Elvira, Manuel",0,0,15,0,0,0,51,22,-0.067397727,-0.333150909,-0.559486818,0.32212,-0.570517727,-0.379024118
"Echavarria, Nicolas",0,0,16,0,0,0,48,37,-0.065324865,-0.096561622,-0.39174,-0.098007568,-0.586309189,-0.381999792
"Jones, Matt",0,0,10,0,0,0,30,0,-9999,-9999,-9999,-9999,-9999,-0.390385333
"Berger, Daniel",0,0,12,0,0,0,38,28,-0.722927857,-0.232556429,0.363933214,0.319456071,0.450832857,-0.391207105
"Harkins, Brandon",0,0,13,0,0,0,42,0,-9999,-9999,-9999,-9999,-9999,-0.391951667
"Riedel, Matthew",0,0,10,0,0,0,30,0,-9999,-9999,-9999,-9999,-9999,-0.397787
"Sato, Taihei",#N/A,#N/A,8,0,0,0,30,0,-9999,-9999,-9999,-9999,-9999,-0.397907
"Otaegui, Adrian",0,0,16,1,0.058,0,51,26,-0.469061154,0.260673462,-0.278970385,-0.274618077,-0.292915,-0.402354314
"Gerard, Ryan",#N/A,#N/A,13,1,0.172,0,44,0,-9999,-9999,-9999,-9999,-9999,-0.408984545
"Van Paris, Jackson",#N/A,#N/A,9,0,0,0,29,0,-9999,-9999,-9999,-9999,-9999,-0.410561724
